web-scraper-order,web-scraper-start-url,sds,sds-href,pdf,pdf-href
"1753320404-1","https://www.thecloroxcompany.com/responsibility/healthy-lives/product-stewardship/sds/","View Details","https://www.thecloroxcompany.com/sds/s-o-s-cloroxpro-manual-pot-pan-detergent/","Download Safety Data Sheet - PDF","https://www.thecloroxcompany.com/wp-content/uploads/2020/08/S.O.S.%E2%84%A2-CloroxPro%C2%AE-Manual-Pot-Pan-Detergent.pdf"
"1753320409-2","https://www.thecloroxcompany.com/responsibility/healthy-lives/product-stewardship/sds/","View Details","https://www.thecloroxcompany.com/sds/cloroxpro-clorox-ecoclean-glass-cleaner/","Download Safety Data Sheet - PDF","https://www.thecloroxcompany.com/wp-content/uploads/2025/03/USA004047-CloroxPro%C2%AE-Clorox%C2%AE-EcoClean-Glass-Cleaner_1.pdf"
"1753320414-3","https://www.thecloroxcompany.com/responsibility/healthy-lives/product-stewardship/sds/","View Details","https://www.thecloroxcompany.com/sds/cloroxpro-green-works-98-naturally-derived-manual-pot-pan-detergent/","Download Safety Data Sheet - PDF","https://www.thecloroxcompany.com/wp-content/uploads/2022/09/USA001450-CloroxPro-Clorox-Green-Works-98-Naturally-Derived-Manual-Pot-Pan-Detergent_1.pdf"
