web-scraper-order,web-scraper-start-url,sds,sds-href,pdf,pdf-href
"1753320608-1","https://www.thecloroxcompany.com/responsibility/healthy-lives/product-stewardship/sds/","View Details","https://www.thecloroxcompany.com/sds/clorox-clinical-soft-surface-bio-stain-cleaner/","Download Safety Data Sheet - PDF","https://www.thecloroxcompany.com/wp-content/uploads/2022/11/US002009-Clorox-Clinical-Soft-Surface-Bio-Stain-Cleaner_0.1.pdf"
"1753320613-2","https://www.thecloroxcompany.com/responsibility/healthy-lives/product-stewardship/sds/","View Details","https://www.thecloroxcompany.com/sds/clorox-clinical-air-surface-sanitizer/","Download Safety Data Sheet - PDF","https://www.thecloroxcompany.com/wp-content/uploads/2021/01/Clorox%C2%AE-Clinical-Air-Surface-Sanitizer.pdf"
"1753320618-3","https://www.thecloroxcompany.com/responsibility/healthy-lives/product-stewardship/sds/","View Details","https://www.thecloroxcompany.com/sds/clorox-pro-formula-409-glass-surface-cleaner/","Download Safety Data Sheet - PDF","https://www.thecloroxcompany.com/wp-content/uploads/2021/11/USA001682-Clorox-Pro-Formula-409-Glass-Surface-Cleaner.pdf"
